15/Sep/2022;amomentum.tex;originally a discord bivector physics forum answer, and then a blog post discussing in more detail.
27/Dec/2022;hestenesFindX.tex;discord question: https://discord.com/channels/607264339480674324/925683732403335188/1057286422970769428
22/Nov/2023;test.tex;random notes, including Maxwell's to STA notes for a discord post.
6/Dec/2023;dexpquestion.tex;Answer discord/bivector question about taking the derivatives of a spherical polar exponential representation.  Incorporated this (after considerable rework) into a problem in GAEE.
25/Nov/2023;whycurl.tex;blog post followup to discord post.  parts of this incorporated into gaee.
